用户名,性别,评分,城市,评论,用户等级
凌子💋,,5.0,成都,很不错，人心不能坏,3
老豆腐,,4.0,扬州,还行啊，陈冲女儿丰满过头了,3
花落〆相思尽,,5.0,顺德,挺不错的，述写着一个父亲对女儿的维护跟疼爱，不错不错,2
Siren,,4.5,西安,挺好看的，真是想给9.5。,1
jlq240386785,,4.0,张家口,很好的翻拍电影,3
jAN765360823,,5.0,汕头,好看非常好看,1
康爷,1.0,5.0,北京,非常好，影片情节引人入胜，结局完美，人性，法理高度统,2
匡导KING,,5.0,深圳,"陈思成的
IP",2
bae217483705,,0.5,北京,这不就是抄袭印度电影么？怎么评分这么高？,2
kTQ705562149,,5.0,张家港,题材新颖，老肖演技杠杠的，叶问4我昨天看的，误杀今天看的，说真的没法比,2
HsG756176113,,5.0,石河子,肖央一如既往的不负众望,2
qQM930928364,1.0,5.0,西安,现在国产片真的质量越来越好了！赞,3
tianyue19945,2.0,5.0,上海,很酷，喜欢这种悬疑的～,3
L.畅颖🎈,2.0,5.0,吉林,真的太好看了，一点也不出戏,2
陈妮儿,2.0,5.0,佛山,看哭了结局再完美点就好了,3
晏铭妈妈,2.0,5.0,延边,很值得观看的一部电影，反应出家庭对孩子的影像，以及孩子对别人的影像,2
又又,2.0,5.0,上海,真的很好看，给了10分,2
୧( ・᷄ ᵌ・᷅ )୨ จุ๊บ,1.0,5.0,大连,真的很棒棒👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻,4
ལོ་མའི་དབྱངས།,2.0,5.0,西宁,"好看
我同意 父母以自己最好的方式保护自己的孩子。",2
apE391852495,,5.0,咸阳,情节深入人心,4
upR880664934,,5.0,嘉兴,电影很不错加油！,4
我心飞翔,2.0,5.0,松原,真的很好看，还很感动！,2
Angeldemonbx,,4.5,深圳,记得前一部悬疑电影看的是调音师，这部电影我觉得很好看，细节很多需要仔细看，虽然我已经很仔细了但是我还是有没有注意到的。好好看，值得一看的电影。,2
小小林j,2.0,5.0,福州,步步紧逼，层层迷雾,5
mnR405474327,,4.5,深圳,很不错的一部影片,2
毛毛,,4.5,天津,好看情感感人,2
燃宝pipi,2.0,5.0,长清区,完美，太好看了！精彩极了,3
许君闲乘月.,,4.0,呼伦贝尔,演绎出了一个父亲对女儿深沉的爱，同时也表达了法律不可能饶恕每一个犯罪的人，这是一场智慧的斗争，虽然主角一家都是好人，但是不可否认的是他们的确触犯了法律.唯一的不好就是我看困了，所以给四⭐ .,1
中国2019,,0.5,渭南,电影可以，冻死人了，把人冻成冰棍了，环境不好,1
回归自然,2.0,5.0,江都,好看悬疑好片,2
开心就好,1.0,5.0,广州,肖央演戏 很到位。,2
源,1.0,5.0,石狮,好看，可以，不错,2
海神东,1.0,5.0,扬州,超出意料 之外瑟瑟发抖,2
柚子茶,,5.0,上海,这部电影真的不错👍,3
A 小韩,,5.0,丹东,挺好的   肖央演的不错,1
shi563372874,,5.0,哈尔滨,非常的不错，好看，但是结局很让人思想,1
桑老汉,,5.0,北京,完美，太好看了。陈冲给我印象深刻。,4
Passerby,1.0,5.0,成都,还好吧！剧情可以,2
一个代号而已,1.0,5.0,盘锦,演技很棒，剧情可以,3
Shoestring,1.0,5.0,重庆,还不错 👍,2
符淑慧,2.0,4.5,深圳,"陈冲演技真是雷翻天了，印象深刻
",2
哟哟程鹏,,4.5,阎良,超级好看的一部电影 感触非常深刻 当谈到父女之间的信任时 我想很多做家长的也应该想到 自己与女儿之间的关系是怎样的 是否应该和自己最亲爱的人多一点交流与联系,3
迟暮,2.0,5.0,上海,太赞了吧，什么现象级神片,2
紫霞,2.0,4.5,深圳,特别好，悬疑侦探心理战，特别到位,4
ZJa856423670,,5.0,重庆,好看，看到最后哭了😭,2
邓紫昕,2.0,5.0,三明,还不错，值票价,2
A👑随遇而安👑,2.0,4.5,长沙,自从当了母亲，小孩就是母亲的一切，电影挺真实的，演绎了父亲母亲的伟大，有时候父亲才是默默承受一切的人……挺感人的。,2
if,1.0,5.0,西宁,“黑暗终于溺死于黑暗，误杀的背后是期待被救赎”,1
渠道负责人彭强,,3.0,成都,不知道各位知不知道，这部电影完完全全的模仿了(包括台词)印度电影：误杀瞒天记。 觉得这部电影还不错的话，去看看原版吧，那个才叫一个精彩！！演技剧情更不用说了！,2
lNf748295261,,5.0,张家港,特别精彩，当孩子面临危难的时候，父母挺身而出不畏强权演绎的非常棒，在那种时刻，他们只是父母！,3
广东六意@黄宇鹏,1.0,5.0,佛山,很有教育意义，各个演员演技也到位，结尾也是有开放性的。看这部剧要抓住很多细节，才能看的懂，很好！,2
不将就1792,2.0,0.5,长沙,真烂，抄袭人家印度的误杀瞒天计，剧情没别人好，演得没别人好，看了二十分钟就看不下去了，***，好吗？怎么好意思收电影票钱，建意大家下次一点要看简介，我就是没看简介就直接去看电影了，真的后悔呀，不接受任何反驳。一模一样的剧情照搬，我真的是服了。,3
平措先生2016,,4.0,长沙,虽然情节与印度早期一部电影相思，但此部剧的演员演技都很到位，情节紧凑，高低起伏。,3
ZH,,5.0,大同,影片情节前后呼应，完美的诠释了人性的弱点，非常好看，尚留的一点人性，告诉我们好人一生平安，也告诉我们社会存在的黑暗。,2
偶尔善良.548,,5.0,睢宁,超级超级好看想二,2
qbk211259398,,5.0,济南,剧情非常棒！！！,1
等等,2.0,5.0,昆明,好看，非常好看,1
兔匪匪এ᭄ꦿ,2.0,5.0,巩义,完美的犯罪，精彩,2
执念,,5.0,青田,细节决定成败,2
这个人贼拉胖,2.0,5.0,济南,是真的好看呀，推荐推荐,2
SJX526493487,,5.0,绵竹,故事情节精彩，节奏较快，紧凑,4
jza714450386,,5.0,石家庄,我觉得很好看。后面环环相扣，险象环生，既有家庭的承担与责任，又有战胜强权的过瘾，又有灵性良心的面对和成长。很真实，也很有教育意义。品质,3
Z.,1.0,5.0,汕头,肖央演技超赞,1
,2.0,5.0,大竹,非常好看！！,1
贪婪的学生,1.0,4.0,新乡,还不错，但也没那么棒,2
GzR795234969,,5.0,临潼,优秀，很棒，支持,2
，,,5.0,孝感,好看好看~值回票价!,1
像一朵啥花,2.0,5.0,漳州,好看！刚开始看有点惊悚，但是剧情挺好的,2
枫林9432,,5.0,呼和浩特,陈冲演技确实在线。,3
ANITAZA,2.0,4.5,广州,剧情很好，演员演得到位。就是不喜欢它的结尾。做了那么多事，不就是为了一家人平安无事吗？不符合逻辑,4
迅儿,,5.0,武汉,蛮好看的，影片很精彩,2
【珍氏美品牌方】秦铨,1.0,5.0,大连,"年度惊悚片之最😅
那只羊还是记得蛮深刻的，羊在基督教中的意义为替罪、救赎以及牺牲。在影片里，起到了一个贯穿的梗概。羊只要能好好的吃草，才不会管是谁在褥他们身上的毛呢。代指老百姓、小人物。在社会上的实质性存在。衔接上。有的孩子是孩子，有的孩子是禽兽这句话，记得东野圭吾写过：谎言所折射出的，还有人心。最重要的表达不是如何完美犯罪，而是人心。 最后的最后，作者留白，进入到深深的思考中。。。",2
大树,1.0,4.5,泉州,虽然是翻拍，但也看到了新意，有些细节甚至是看过后跟朋友交谈才发现的，细思极恐的感觉。真心推荐，哪怕是有看过印度版的。,2
SHU510562106,,5.0,赤水,原版最经典的一幕没拍出来,2
zmomo2333,,5.0,合肥,好看的一匹 非常烧脑,2
qingwaw,,4.0,天津,"翻拍电影 ，没看过原版 真心 感觉不错 
看电影真的能学到 很多东西",3
Bittersweet Faith ,,5.0,璧山,值得一看，其实全片最触动我的是李维杰的最后那段独白，小的时候女孩和爸爸很亲，长大了就感觉疏远了,2
龟小仙,,4.5,成都,情节流畅 演员表演出色,2
RQL240051324,2.0,5.0,绵阳,很好看，悬疑加伟大的父爱,2
苹果树,2.0,4.0,武汉,最后的结局我不喜欢，李维杰不应该去自首，感觉那是对普通老百姓的背叛和嘲讽，如果议员两口子不是从权势的神坛跌落的话，够他一家人喝一顿的了，他最后自首的情节同样是毁了女儿的一辈子,4
PJ,2.0,3.5,长沙,还不错体验感还行,2
SZA968237638,,5.0,苏州,很不错的一部电影，很感人👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍,3
Sept,,5.0,南京,"对象觉得好看那就是好看
",2
天会亮丶心会暖,1.0,5.0,十堰,好看！很有震撼！是一部很不错的电影！,2
Amy老爹,1.0,4.5,西安,很不错的影片，剧情比较抓人。,2
Levi,1.0,5.0,上海,电影很不错，剧情很刺痛人心，结局处理的很模糊，但是，也没关系，符合现在社会的大环境。推荐新朋友去看。,2
可爱萌萌_mua,,5.0,高平,计划二刷电影。就是对这部电影最好的评价。😄。,2
Choris,1.0,5.0,常德,过程不够精彩,2
夏日荷,2.0,4.0,宁乡,还好吧！但是推荐去看哦(´-ω-`),3
糯米粢_,2.0,5.0,广元,近两年看过最好看的电影,2
此.时！此刻！,,3.5,郑州,平平淡淡...,2
冰淇淋,1.0,5.0,桂林,今年看到最好看的国产片,3
FLavor （风情）-,1.0,5.0,曲靖,很好看，男人为了一个家不管如何都要拼尽一切,1
yxy,,5.0,上海,很好看的一部电影给五星好评,2
aCt298345534,,5.0,大连,确实非常精彩，肖央表演能力越来越强,2
星河。,2.0,5.0,保定,很好看，剧情很好，每一幕都很重要，细节严谨,2
安乐,,5.0,永康,有些小bug，总体还是OK的,2
小荣.,2.0,5.0,项城,看完都不知道谁对谁错了！,3
Sophie,2.0,5.0,杭州,太好看啦！！各种拍摄手法以及主演们的演技绝了！,3
YpI128581869,,5.0,唐山,电影挺好看的,1
阿弥陀佛,1.0,5.0,天津,总体还不错，值得看,1
SQy350783494,,5.0,东阳,手心冒汗 有几个点毛孔都立起来 炸裂啊,4
刘海洋,1.0,5.0,北京,被名字耽误的电影 好看,2
曹丹487,2.0,5.0,呼伦贝尔,很不错 值得去看,2
鹌Y,1.0,4.0,通许县,剧情比较虐心,1
EMb122468627,,4.0,遂宁,结尾改的有点难顶,2
气死我可,2.0,5.0,西安,挺好看的，细节处理的很到位,1
OFP734480381,,5.0,南京,二刷啦！国产悬疑片拍成这样已经很不容易了。,3
Poser783,,5.0,沧州,电影很不错，巧妙结合了电影中的各种桥段，同时也演绎除了一些道理，发人深省,2
白夜灬枭,2.0,5.0,恩施,剧情设计非常好，主角肖央演技可圈可点，但配角演技欠佳,2
Tang果儿,2.0,5.0,诸城,电影还行。就是电影院可能刚装修起来，味道很大，很呛。。。,2
宝丽,2.0,5.0,广州,这个爸爸真的好，,3
雷帝🐒嘎嘎baci,1.0,4.0,北京,挺不错的，除了猪脚之外，小女儿也很出彩,3
lmH119090179,,5.0,北京,好片子！好导演。好演员。只是现实主义电影太苦了，苦得不忍看，看到最后心情才好点。,2
韵语纷飞,,4.5,北京,好像还可以你俩,2
利利,2.0,5.0,常德,"值得一看，让我看到了一个男人在整个家庭里真正的担当，孩子的教育胜过一切，什么权利金钱都靠边站！
感觉感动了不少人，都在哭！
电影结束了，很多人还不愿意离开！
",3
vvj668492923,,3.5,海口,陈冲演技确实好,4
Turbkok,2.0,5.0,广州,整部影片非常的丰满  有对犯罪的愧疚 对女儿的愧疚  以及整场电影的节奏感非常棒！演员非常的投入。因为是临时决定的电影，以为会亏，但真的不亏。,1
斟意,2.0,4.0,上饶,挺好的，感觉有点意犹未尽,2
茂利Lyun👶,1.0,5.0,江门,太牛了好好看!,2
bmF38224439,1.0,5.0,湛江,翻拍印度版的误杀，结局不一样,2
卉卉你要乖,2.0,4.5,怀化,我觉得好赞!!!,1
三三得九，,,5.0,重庆,没赶上 可惜了,1
928711463,,4.0,石柱,手段类似嫌疑人x的献身,2
小小生少,,5.0,广州,人性，人心，掩饰的非常好,2
A  杨文卓,1.0,5.0,绵阳,肖央出品必是精品！太好看了！！！,4
REf192378918,,3.5,黔南,肖央演戏比唱歌更有天赋！喜欢陈冲,4
iIv788684720,,4.5,南京,超级感人。值得一看,2
果味的夏天,2.0,5.0,长沙,电影炒鸡好看,2
『传奇』,2.0,5.0,武鸣,非常好看，环环紧扣，扣人心弦。,1
久陌944,2.0,5.0,保定,肖战演技爆棚，影片还有小小的脑洞，特别好看,1
南 星,,5.0,邢台,超级好看值得一看,2
天空之城,1.0,5.0,天津,二刷依然好看,2
Làyton,1.0,5.0,洛阳,真的牛逼一电影,1
La piedra,2.0,5.0,包头,细思极恐，拍的很棒，演员演的也很到位。,1
许依兰,2.0,5.0,天台,电影很深刻，不错。,1
薛lan,2.0,5.0,佛山,好看，太喜欢看！,2
狗东西,1.0,0.5,璧山,真的挺好看的,4
长不大的彼得潘,1.0,4.5,常德,非常棒的悬疑电影,4
gWy461359217,2.0,5.0,乳山,拍的很棒 全程高能 但是我记得抖音里刷过结尾 男主被放出来了 因为shi体没有被找到 警局也拿他没办法 但是看到最后也没这段 问影院的人 影院的人说就是自首了 没了…我有点玄幻了…,3
叶子。,2.0,5.0,南安,剧情不拖累  演员演技很nice  虽然是翻版泰国版  但真的很不错👍🏻  印象最深刻的就是两妈妈👩🏻的对峙  超级棒👍🏻,2
@自渡°,2.0,5.0,大理,真的很不错，棒棒棒,3
和敏,2.0,4.5,泸州,我觉得很不错，为了自己的孩子，能付出一切，也教育了那些家长，不好好管教自己的孩子，将来有人帮忙管教,2
wakin,1.0,4.5,乌鲁木齐,好看的电影 起伏的剧情！赞👍,2
Hbo519372029,,4.0,攀枝花,总体来说剧情很紧凑，每个演员的演技都很好，但细想还是有一些情节上的漏洞，还是值得观看的,2
王先生,1.0,0.5,拉萨,中国电影只剩下照抄了吗？？？人家印度电影误杀满天记结局比这个合理的的多！,2
陪着狗杰长大.💕,1.0,5.0,长丰县,恐怖的剧情啊,3
刘三姐,2.0,5.0,营山县,不错！情节环环相扣！,2
mengyun,,4.5,北京,好看，值得一看,2
A-Bad Dad郑,1.0,5.0,武汉,很好看，剧情不错！少有的国产好片。,1
小幸福💕,2.0,4.0,北京,"虽有一点逻辑bug
但是瑕不掩瑜
所有演员除了大女儿的演技都太自然了！",2
笑笑.,,5.0,安顺,挺精彩的，细节也很到位,2
花七夜,1.0,4.5,上海,很不错的电影,4
丫丫,,5.0,重庆,好看，演技在线,3
ʏᴀɴɢ.,2.0,5.0,北京,太棒了⑧看的我起鸡皮疙瘩,3
似水年华,1.0,4.0,安康,还不错👍挺好看的,1
二十三,1.0,5.0,桂林,还行吧 还是不错的,1
平安保险孙敬仁,1.0,5.0,临沂,内容很真实，引人深思！,1
幼京,2.0,5.0,深圳,太聪明了，鼓掌,2
DfQ438649297,1.0,5.0,连州,完美至少输入,2
Tomato33,,5.0,重庆,演员演得好好....值得推荐,3
jordanchen062,,5.0,石家庄,很好看，支持一下,2
孤,,5.0,荆州,细节 蒙太奇 前尾对照,3
青柠檬*,2.0,5.0,东莞,好看好看  心情很忐忑  知道觉得很不错,2
哼べ要你管,2.0,5.0,泸州,还可以！下次还去！,2
烟火里的尘埃,1.0,5.0,苏州,这是根据外国哪一部电影翻拍的，忘记叫什么名字了。翻拍的还不错,2
樊铧声,,5.0,南通,精彩到极点极点极点,2
supertao0,1.0,5.0,西安,还行，首尾呼应，前期隐藏自己作案手法痕迹太重，把人换成羊才达到了高潮，剧情发展都在意料之中，结尾倒是没想到。,1
黎明,1.0,4.0,上海,不错的翻拍，比原作更有戏剧冲突。结尾不是太好，除了规避审查设计的自首情节，模仿《杀人回忆》结尾的镜头过于形式没得到精髓，还用了2次有点刻意了。,3
谦,1.0,4.5,上海,步步惊心！值得一看！！,2
任秀恩,2.0,5.0,临汾,剧情悬疑 好看,1
呀屎啦你,,4.0,新余,挺好，就结局改得不行，唉，广电啊,4
warriors总冠军,,4.5,西安,电影很好看很烧脑,1
dPz704280317,,4.0,昆明,好看(｡･ω･｡)ﾉ♡,3
吴伟彬,1.0,5.0,从化,很不错的烧脑悬疑片，逃过了改编扑街的定律，结局也不跟原版一样，毕竟中国电影就是不能被真凶逃脱法律的惩戒,1
李健,1.0,5.0,雅安,从开始就抓住我的心一直到结束，***精彩了,4
恐怖番茄,1.0,4.0,绍兴,看过了印度的原版《误杀瞒天记》，整片剧情一摸一样，仅有的两点不同就是把埋在坟里的狗换成了羊，还有最后的自首。虽然是翻拍，还是不错的。,5
旱魃,1.0,5.0,南宁,看过最解恨的电影了,1
闲情逸致,1.0,4.5,深圳,父爱如山！感动！,1
AKI,2.0,5.0,顺德,演员演技爆棚，看了开头猜不到结尾，很不错,2
圆圈呆三毛,2.0,5.0,南通,"非常棒的一部电影
应该说 一千个人有一千个哈姆雷特 我看到的不是误杀 而是两对爱孩子的父母的较量 是平民与权贵的较量 ",1
酒十七 。,2.0,0.5,昆明,超难看啊 看到一半头痛就走了 不知道9.5分怎么来的 以后再也不看评分看电影的 还不如之前放错的特警队好看,3
TMi902666770,,5.0,上海,蛮精彩的可以,3
p。p,2.0,5.0,福州,有些瞎子根本没看电影就来骂抄袭，片子里写得大大的买版权翻拍。大概他们不懂买版权和抄袭的区别。而且误杀瞒天计本身也是一个翻拍剧。,1
Osame,1.0,0.5,莆田,烂片，那么多好评都是刷出来的吧？看了想睡觉，编剧烂，导演烂，陈思诚水平也就那样了，想埋伏笔埋成笑话，逻辑不合理，推理没水平，生堆硬凑的剧情。,1
杨梨+,2.0,4.5,江阴,剧情 紧张又刺激 主要结局很有爱,3
瑞希,2.0,5.0,天水,好看、剧情完美！,4
沈楠楠123,2.0,5.0,鞍山,完美，，，，。,2
超哥,1.0,4.0,常熟,剧情有点老套,3
皇后大道东,,4.0,长寿,每个人演技都挺好，非常紧张刺激剧情，就是剧本原创的太少。,2
是你的猫呀🐱,,5.0,佛山,真的太好看了,2
xiaohuazhu888,,5.0,上海,特别特别喜欢，超好看,3
烨枳.,1.0,5.0,固始县,不错，有深意,1
风信子,,5.0,泰州,非常不错的一部电影,2
绿毛僵尸叔叔,,5.0,宜宾,剧情亮了，很震撼,2
希美星范~红姐,2.0,4.5,新化,好看，整个剧情让我一直处于紧张的感觉，还没看够。开放式结局。,3
double kill,2.0,5.0,祁东县,真的是值得二刷三刷的电影,2
￡舊城空憶￡,2.0,5.0,安阳,真的很不错呀,2
年轻不拽世界怎么精彩,1.0,5.0,无锡,一般般，故事太简单,2
brg136632092,,4.0,广州,好康，比预想中要不错很多,1
着迷,1.0,4.5,广州,"男主和小女儿的演技很棒 大女儿脸部有点僵硬 感觉像是只有皱眉这一个表情 情节连贯紧凑扣人心弦 最后在雨中挖坟的那段拍得很细腻 刻画出了每个人的心理活动 最后的结局我认为有点像是为了过审而刻意加上去 我比较偏向于在寺庙的结尾 可能更像现实
男主说的一句话“我是一个没有什么本事的男人 不能让你们过得更好 能做的只有 挡在你们面前” 父爱本如山 他们愿尽其全力助我们前行",2
denny99666,1.0,4.5,张家港,好看太好看了,4
冰淇淋,2.0,4.5,琼海,很棒！演得很逼真，局长对小女孩的凶眼神太赞了,1
郑勇,,4.5,上海,肖央的演技有大大的提高，导演想表达的东西我们也许也看懂了，,2
小小谢,2.0,4.0,湘西,片子挺好看的，很多小细节暗示和剧情呼应，很棒的处理。值得一看。,1
因薇你,1.0,5.0,茂名,这个爸爸我给十分，不过影片最后那二十几分钟完全就是多余的，但是社会主义核心价值观嘛我懂要不是这样根本就通过不了广电，理解理解。这部电影除了完美我已经想不到更好的词来形容它了，真的很棒,3
Puggy,,4.0,杨陵,翻拍的，看过原作。这个结局很迷，费好大劲儿搞老半天玩儿呢？？,1
太深爱,2.0,5.0,北京,挺好看的，剧情也比较感人,2
邧yuan,1.0,4.5,长垣,爱情 父爱 母爱,3
前列线的大吃货,1.0,5.0,淄博,完全冲着中单冠军来的,2
常炜,1.0,5.0,南京,不错～好看～,2
一份蘑菇炖提莫,,5.0,聊城,最喜欢两个母亲怒目而视那段儿,3
龙慰凤,2.0,5.0,海口,好看，非常好看,2
鹿定制Queena,2.0,5.0,长沙,好看不错👍,4
Kris,2.0,5.0,青岛,新颖的犯罪题材，又有感人的亲情，好电影,3
嘉士伯,1.0,5.0,南宁,好看 非常好看,3
拾柒子可,,5.0,平顶山,肖央演技炸裂！剧情很紧凑。,2
隐身255,1.0,5.0,杭州,很好看，演的很好,1
小黄花·😊,2.0,5.0,长沙,故事情节很好,3
运动快乐,1.0,4.5,北海,对家庭教育、孩子教育很有启发意义。电影很棒，幸福地看完了。,1
Renee,2.0,4.5,西安,nice。。。,2
jMV139996685,,5.0,荥阳,"父爱如山
女孩受伤以后才会懂事，有点遗憾",1
榴怜椰姿,2.0,4.5,漳州,挺不错的，全程不拖拉，无尿点！画面很有代入感,4
杨俊豪🛵,1.0,5.0,惠州,还挺好看的哦,1
wAR570405778,1.0,0.5,南京,抄袭严重抄袭印度电影误杀瞒天记,2
maying,,4.5,石河子,天下父母心，有些孩子是孩子有些孩子是禽兽,3
ju😚,2.0,5.0,长治,超级好看，炒鸡刺激,2
沫兮,1.0,5.0,内江,优秀，优秀得很,2
洋,1.0,5.0,长春,很好看，肖央演绎的父亲对女儿的爱很到位，电影看的很揪心,2
Hi,2.0,5.0,广元,好看，全程无尿点，喜欢肖央的演技，棒棒哒。,1
忙碌的叔叔,1.0,5.0,深圳,还行吧，剧情很像国外一个，但是忘记了,3
摄友,1.0,0.5,深圳,因为看过了正版的，感觉故事情节差不多。,3
恩张也变,,5.0,南京,好看好看好看,2
石材抛光-朱杰,1.0,4.5,佛山,该片复制了印度电影误杀满天记，但使用了不同拍摄手发，特显了个别配角，整体引领故事导向，但故事内用还是比较容易猜到，秦沛老戏骨👍 👍 👍国家演员之宝，最后几秒 一个面部表情令人心寒又疑惑，导演想利用这表情想衍生误杀2吗？值得期待,5
ㅤ,1.0,5.0,佛山,超级好看，剧情特别精彩，,2
风软水想,,5.0,芜湖,剧情场本超级精彩，最后的彩蛋也有意思！,2
CDJ0422,,5.0,济宁,可以。。。。。,2
℡.呆子,1.0,4.5,黔南,为什么泰国人的中文都那么好？,4
誐臫魢,1.0,5.0,南阳,肖央演技真的很棒 加油💪,4
瓊,2.0,5.0,铜仁,很好看，剧情紧凑不拖沓,2
何彩虹413,2.0,5.0,惠州,从头到尾一直跟着紧张，太刺激了。很好看的一部电影。。。。。,2
刘三克,2.0,5.0,上海,每个演员的演技都太棒了，就是结局让人还是压抑，没有原版的让人轻松,1
L12Hu,,5.0,无锡,陈冲冲冲冲冲,1
戴戴,1.0,0.5,海城,啥也不是真的,1
鱼七猫九。,,5.0,西安,这部电影真的不错，可以把人带入那种紧张，恐惧的场景。,2
谷儿,2.0,5.0,海口,"它真的很棒
“如果没有去自首，我猜。他也会很愧疚很难过一辈子的”
“正义的犯错人不会一直犯错”
“希望好运留给世界”
“希望那小女孩最后的生活会慷慨淋漓，不会难过，不会被别人欺负。”
“希望经历一长段分离后的他们重新幸福生活，忘掉那个不愉快”",2
dollyway,,4.5,佛山,很好看的片子,2
朵妹🙌,2.0,5.0,六盘水,非常好看 但是影院卫生脏 乱 差 一点也不正规 就像私人影院 黑漆漆的,3
宽哥_,1.0,5.0,郑州,不错。值得一去看。,2
南啊喃,2.0,3.5,沈阳,陈冲和谭卓的对手戏确实看起来很过瘾，但结局有点不尽人意，觉得有点刻意。,3
取暖的鲨鱼,2.0,4.0,扶绥县,影片不错，镜头效果，音效处理都很棒，从正义的角度还有法制的角度来看，影片情节安排得很到位，结尾自首，也符合中国观众的价值观。,2
卸下那些伤,,5.0,广州,非常好看，一家人心理素质过硬，全程心惊胆战，主角的逻辑思维比警察局局长更胜一筹,2
婉婷2016。,2.0,4.5,郑州,这是最近看的电影中，最好看的，,3
脾气极差,1.0,5.0,忻州,好看 情节紧凑 氛围紧张 不知不觉两小时就过去了,3
娇女,2.0,5.0,贵阳,很喜欢……觉得很真实,2
pyG360887989,,5.0,德惠市,电影很好看，推荐观看,3
大多多爱澳仔,,5.0,天津,好看。。。。。,3
cfk622299056,,0.5,北京,误杀瞒天纪，哈哈哈哈哈哈,2
聚散不由人543,1.0,4.5,固原,伟大的父爱！,2
MY shen,,5.0,巢湖,好看好看，结局十分动人,2
xTc543506273,,5.0,东台,属于高智商犯罪的电影，挺好看的,3
大男孩,1.0,4.0,云阳,因为之前看过印度版的，所以没有多大点事惊喜,2
皓月,2.0,4.0,泸州,挺好看的！！,2
Z-先生,,5.0,菏泽,完美 非常喜欢,1
🍃时光倒流🍃,2.0,5.0,汕头,挺好看的一部电影，还不错,2
woZ332506616,2.0,4.5,西安,主演表现超棒,4
ABOVE～EY,1.0,5.0,重庆,"剧情新颖反转，整部电影🎬剧情紧凑，节奏连绵不断。演员演技细节入木三分，男主实为影帝，其中，一个紧张嘴角微微颤抖的细节惊艳到我。从艺术角度来说，电影色调统一，拍摄镜头从多个角度多个维度来体现人物，其中，局长和小女孩独自屋中的镜头从上到下局长身影完全将小女孩笼罩，可以体现出一丝丝的恐怖气息。整部电影在泰国拍摄，在一个不那么发达的国度，体现人性...每一个人角色性格鲜明。finally，this is a
wonderful movie which I have ever seen.",4
A . 傲的像光  ½,,5.0,抚顺,非常好。推荐,1
啊哈,,5.0,济源,太好看了 父爱如山 ,2
fHc741561198,,5.0,通辽,音乐配的太到位了！！！！！,1
成熟+稳重+真诚+善良,1.0,5.0,重庆,剧情很不错，肖央演技很棒！,4
江水音悦,2.0,4.0,银川,不错，肖央的演技让人意外！剧情也可圈可点，现实题材的一部影片！,3
Ryan Zhang,1.0,4.5,广州,剧本不错，拍摄和演员及格，没有想象中震撼,3
陈璋同学,,5.0,宁波,肖央的戏路是越来越广了，筷子兄弟 现在成了一柱擎天,3
e小叛逆,2.0,5.0,鹿邑,好看，演技在线。,2
Bop883542573,,5.0,济源,很好看，肖央演的各个精品,2
慵懒少女🐾,2.0,5.0,沈阳,超级好看1，影片时间再长些就好啦,2
zhizu357,,5.0,青岛,可以 很好 值得一看,2
黄莺,,4.0,长沙,智商高，，，，，,1
轶山,1.0,4.5,桂林,特别好看，肖央演技可以的！！,2
武汉奥力哥,1.0,5.0,恩施,还可以，看着比较刺激，有思维逻辑性。,1
诗中伏笔未完待续,2.0,4.5,呼和浩特,细节细思极恐,2
木子李,2.0,5.0,广州,冲着9.5分来试试看，开头没感觉，后面越来越精彩，有看头,2
雨85105,,5.0,北碚,没的说，良心作品，展现了人性之间的斗争，让我们见证了一个平凡的男人的责任与担当。正如男主所说：“我只是个普通的人，我能做的只有挡在你们面前”,2
bMz922047922,2.0,4.0,西安,还不错，看着挺刺激,3
光,1.0,4.0,长沙,剧情还可以，就是抄袭的体无完肤,2
tvl601408174,2.0,4.5,濮阳,冲评分来看的，感觉确实不错，逻辑思维强，节奏快不拖拉，演员演技都在线,2
,1.0,4.5,厦门,偷换时间   高手过招  灵活运用  很棒,1
AA汽车销售   泽,,5.0,顺德,很好看，超级好看,3
FHXQAQ,1.0,5.0,锦州,无敌好看，真的是无敌好看,4
Stephen·Kuang,1.0,5.0,韶关,一部好片！！！,2
Wxrsngp,,5.0,武汉,老肖走入演技派,4
明年今日,,5.0,广州,   超级好看,2
UFO71524,2.0,4.5,深圳,剧情一般，但演技炸裂，从老到幼，演技无懈可击。,3
M-W,2.0,5.0,南宁,让我感觉到了，爸爸怎么去爱女儿,3
yFV304499942,,3.5,上海,这部电影翻拍印度的，总的来说还行，如果是原创我会给满分,2
