用户名,用户主页,推荐星级,评论时间,短评信息,投票次数,城市,用户签名
Lyn 【歆恒】,https://www.douban.com/people/lynxiv/,还行,2019-12-22 22:37:41,开场几分钟立马发现了这竟然是印度片的翻拍。虽然我哦没看过原版，但谷阿莫的视频实在太令人印象深刻，太搞笑了！导致我一直难以融入这个翻拍的凝重气氛中。。。ps:这个结局我不喜欢,1,广东广州,嗯？
架构师,https://www.douban.com/people/matlab/,力荐,2019-12-20 23:21:06,《唐人街探案》涉及推理的部分不超过30分钟，15分钟足够讲清楚所有诡计，剩下的是无休止的注水，但作为贺岁片，图个喜庆欢乐的气氛外加一点推理元素也知足了。《误杀》把国产推理片推向全新的高度，猫眼9.5分，100分钟的长度全都贯穿着推理与诡计。那边《唐人街探案》在游山玩水的时候，这边《误杀》在推理；那边《唐探》用闹市追逐戏凑长度的时候，这边《误杀》在推理；那边王宝强在装疯卖傻制造无厘头笑点的时候，这边肖央满脑子思考的，仍然是如何用推理摆脱困境。对本格推理的痴迷，使得人越是卷入复杂难解的事件，越感到精神振奋，决心用自己的智力与它对抗。,0,未知,无签名
北温带英格兰,https://www.douban.com/people/50733430/,推荐,2019-12-11 21:35:39,"剧本出彩，案件和剧情并不复杂，但故事线条清晰，糅合度和递进的节奏密合，并不给人勉强感。对“蒙太奇”的二次解读也有意思——浅浅一层，看着装腔作势，可放那登对。

陈思成这人，不得不承认他有种可贵能力：接地气。不是直坠灰尘，而是油炸食品般，你说它垃圾，但就是好吃，用一种恰到好处的油烟味勾勒了小人物的市侩、轻佻、算计、穷开心和窘迫的善意，随后尴尬一笑忍俊不禁，毫不苦逼。因而经他手出品的电影都可喜地拥有这种气质，虽装腔作势、屌丝，但装得摆谱，古龙；屌丝得得意，忘形。

多好。至少我真看不下去太苦逼的东西。

结尾处煽情维稳上价值不知是不是原片自带，出戏之余也能理解，甚至疑心是为了“过审”而为之？整体属于一气呵成的“好看”之作，尿点有，憋过去就行。

PS.“替罪羊”，小羊，肖央，莫名笑一路，好冷……",4,上海,无签名
soul迪尔,https://www.douban.com/people/warfilm/,推荐,2019-12-22 16:33:45,结局又回到了传统的天朝结局模式,0,上海,战争片吧了解一下
China-周先生,https://www.douban.com/people/189043773/,还行,2019-12-09 23:28:46,肖央先生的演技终于爆发出来了，经历了老男孩、老男孩猛龙过江、唐人街神探、情圣、唐人街再神探、天气预报后，终于从一个失意的屌丝老男孩变成了男人！,6,安徽合肥,无签名
zhang 2nd,https://www.douban.com/people/zhanger/,推荐,2019-12-13 14:06:23,看片量上千的影迷牛逼了，别惹。给我查他一年的观影记录！这句台词笑死了,1,北京,人各有路………………
鱼翅哥,https://www.douban.com/people/89752149/,很差,2019-12-16 02:48:18,"不好意思，冲结局，负分滚粗！
刚又看了陈思成的宣发发言，装JM高级啊，还对评分不满.....就这样的和谐电影7分都算高的了，还跟原著比，我客观点说，开头，中间，中后半段拍的都还行，甚至还有剪辑拼接两天时间的原创片段，都不错。但就结局，毁了所有！前边所有剧情都站不住脚了。再次强调，给1星不是黑你，是因为没有0星！",5,未知,无签名
孤岛影者,https://www.douban.com/people/Century_Movie/,还行,2019-12-13 23:16:09,三星半。作为翻拍作品非常用心，有自己那一套东西呈现。相比原版个人更喜欢这部，虽然配乐问题大同小异，但流畅度改善挺大，细节也很是丰富——经典电影的多次呈现，最终回归所谓的“围墙”，以及多次出现的羊（目击羊、替罪羊等转折，还包括课堂讲解→对应英文片名）。此外如《小丑》般情况的恶化，必定有人会联想到一些影射，因此改编在情感更完整的基础上，还更加关注到现实体制问题。只是收尾还是次了些：而且不是过审的问题，而是时间（生命流逝）上的多余，以及空间（地点呈现）上的缺失。演员自然陈冲最具亮点，而其他大多平平无奇。,1,浙江杭州,一座孤岛，一位影者
高等游民阿朽,https://www.douban.com/people/fuxiu/,还行,2019-12-10 23:23:08,爽片，预测票房会爆。,4,"Reykjavík, Iceland",无签名
雪,https://www.douban.com/people/1282175/,很差,2019-12-21 23:24:49,导演是想说这是一部顶一千部的电影吗？,1,上海,实而不华
小重山,https://www.douban.com/people/43503664/,很差,2019-12-22 03:09:40,照抄而已，完全照抄。唯一脱离《误杀瞒天记》自我发挥的地方就是结尾，但这结尾的狗尾续貂使全片意义顿失。一分给久违的陈冲和一样演得很好的男猪。,1,广东广州,平生每好居人后，今日还应让弟先
文白,https://www.douban.com/people/46815070/,还行,2019-12-11 23:34:22,2.5。相较于原版有做的好的地方，比如简化前面的家庭戏份，陈冲和谭卓两位的表演，以及开棺后的暴动场面，但带来的问题也很多，肖央为何要冒险戏弄警察？这与他开始的人设不符。最要命的问题是，结尾肖央的做法基本上只能带来一种结果：把老婆孩子送进监狱，人设彻底崩掉。这是什么样的脑回路才想出来的结局？,4,广东广州,无签名
Wongwongwong,https://www.douban.com/people/sevenready/,力荐,2019-12-25 20:49:42,4.5；电影前段，妈妈叫大女儿平平，我还想咋这么平庸的名字，后来发现小女儿叫安安，平平安安，父母对子女多么质朴的愿望！内牛满面（泰国ZF也不管管 就这么让中国人瞎拍乱黑 哈哈哈）,0,北京,无签名
Tom,https://www.douban.com/people/eokmiamia/,还行,2019-12-24 19:09:10,悬念设置很巧妙，但是警长和父亲之间的对决处理太简单了。,0,湖南郴州,.
美人鱼头,https://www.douban.com/people/50563925/,推荐,2019-12-11 22:10:09,泰国背景，性侵录像，深夜刨坟，埋尸，腐警，这些元素组合在一起，还是很好看的，难得的国产推理悬疑片。彭冲的演技还是很到位，气场十足。如果没有最后的忏悔与自首，可能会更好，但是也过不了审了。什么时候国内能上一部犯罪杀人但是没有自首的片儿？,3,福建厦门,无签名
勞小姐,https://www.douban.com/people/Remette/,还行,2019-12-14 21:30:13,-_-值得一看。有港片的感覺。故事的編排順暢，沒有硬傷。節奏控制也不錯。如果結尾改為，肖央為保護家人，不接受陳沖夫妻的道歉，不告訴他們兒子的屍體下落，我會給到四分。因為這樣更符合現實，也更符合人性。,4,中国澳门,一圈红晕染翠柳·几丝柔绿盼嫣红
sunbloom,https://www.douban.com/people/3276204/,力荐,2019-12-21 15:16:52,我完全相信一个小学都没毕业的人，能因为看了无数部电影而变得智商超群。一个人的双商三观和共情能力，有时候并不取决于受了多少教育，而在于目睹了多少故事和人生。,2,北京,无签名
晃,https://www.douban.com/people/58028927/,较差,2019-12-11 22:10:27,网剧水准，浪费了谭卓和陈冲,8,浙江绍兴,十圆不如一方
胖达叔,https://www.douban.com/people/hankerchief/,推荐,2019-12-15 22:10:11,好看无尿点。我看完之后听见后面有人在嘀咕，明明这么多中国人却要把案件发生的地点搞在外国，真是莫名其妙……我还能说什么呢，其实也许绝大多数人并不知道水深火热的处境。,6,Bermuda,你丫闭嘴
贝塔先生,https://www.douban.com/people/yahooor/,还行,2019-12-24 00:17:56,蒙太奇重组的时候会觉得……有种柯南的感觉。,0,湖南长沙,无签名
蓝抑郁剂 Lily,https://www.douban.com/people/74672452/,还行,2019-12-20 23:18:58,用力过度了，没比原版好，但是翻拍得确实用心,0,江苏南京,不如死在电影世界里
小川叔,https://www.douban.com/people/blueriver007/,推荐,2019-12-16 22:38:08,刚刚看完和小伙伴讨论说，结尾自首那段也太莫名其妙了。结果小伙伴说最莫名其妙的是陈冲和肖央佛像相遇的那开始的。说那么强势的母亲怎么可能一下子就转变？还不趁着肖央鞠躬的时候直接给他一刀？我想想也是哦。我只能勉强理解，结尾自首的那段是因为要过检查。毕竟好人不能逍遥法外。片子的节奏和整体的拍摄都极其的好，甚至能让人一度忽视肖央满脸是汗，且还有几个包，陈冲的演技简直是好看到炸裂！尤其是看到那段视频，走到自己办公室里的那段，情感层次也太多了吧！,1,北京,光而不耀
杉爷,https://www.douban.com/people/ge.fat/,力荐,2019-12-20 12:13:20,很酷，但酷的并不是剧情本身，而是每个人的演技，故事发展的流畅度，以及那份最原始而纯朴的亲情。“我没什么大本事，也没给你们多么好的生活，我唯一能做的，就是挡在你们前面。”OMG这样的男人太帅了好吗。以及最后给女儿的那封信也十分感人。总之比华语总拍点奇奇怪怪的题材再配着尬戏好太多，好剧本是一个，关键还得靠演技。,0,北京,自由在高处
Panda的阴影,https://www.douban.com/people/PandaMovieMusic/,推荐,2019-12-21 22:59:01,1.前面《肖申克的救赎》、希区柯克、影院看《天才枪手》等迷影情节细节就让我挺喜欢，后面查观影记录那段（《狩猎》《七宗罪》《蒙太奇》）更是惊喜……（豆友鹿鸣短评里提到的《活埋》《杀人回忆》《看不见的客人》《我不是药神》《小丑》等片我刚好也联想到了）；2.没看过印度原版没有对比就比较少伤害……在李维杰与拉韫、都彭夫妇最后会面时一度以为电影要结束于此，刚想为这难得的不和谐结局惊喜一下，结果马上就迎来了“自首”的当头一棒；3.小女孩名叫「李安」！4.肖央终于有一部让我感觉不错还称得上喜欢的电影作品了。—— 22日接连看了2015年《误杀瞒天记》和2013年《较量》后，果然对《误杀》满意度又降低了些，故事性强了，逻辑性反而弱了。不过，“男主是爱看电影的影迷”虽非原创，但我个人还是更喜欢《误杀》里的迷影情节细节设计一些。,0,福建泉州,最爱音乐的电影。
姜荦恴,https://www.douban.com/people/130800910/,很差,2019-12-22 00:45:53,陈思诚强奸我的眼睛还要在在上面撒尿,4,"Kābol, Afghanistan",namazaleizibencaca
宋小君,https://www.douban.com/people/songjunvip/,推荐,2019-12-15 12:16:59,四星鼓励。留下最深刻印象的是那只死去活来的羊。多处细节可见改编用心。这事儿虽然安置在泰国，但发生在哪都不奇怪，要是没有市长选举，怕是最后也难战胜强权。缺点也有，演员演的吧只能说完成了导演要求，没有多少突破可言，偶尔出戏，可能跟置身一群泰国群演中间有关。,2,北京,前面有令人战栗的光辉
瑞波恩,https://www.douban.com/people/39690610/,力荐,2019-12-17 23:19:50,故事设定在泰国，由一众华人明星出演，既有泰语又夹杂中文，就故事完成度来说比较惊喜。男主一年看800多部悬疑片，利用蒙太奇手法制造不在场证据，简直看电影看出来的高智商反侦察本领（看电影的好处？），其实人命案只是引子，基本上就是肖央的底层小人物与陈冲的权贵阶层在斗法，还是有不少社会现实意义的。总之那些大人物不要小看逆来顺受的底层小人物，智慧之人常常最不起眼。,2,北京,知君只爱市中隐，把酒问花坐相悦
鲸鱼君,https://www.douban.com/people/4370686/,推荐,2019-12-13 22:17:24,《误杀》：一个父亲护女心切，隐藏霸凌者尸体掩埋罪证的故事，也是小人物被更强势的暴力所杀、人情与法理相互撕扯的寓言。观众明明谁是凶手，但不可预知的命运走向和人性博弈，让悬念不断膨胀。导演在反类型上的探索、对翻拍片的延展以及符号化的运用均超出预期，肖央陈冲的表现更是好得前所未见。提名：最佳影片/最佳新导演(柯汶利)/最佳女主角(陈冲)。★★★★,2,北京,爱电影才是正经事
JulyChan,https://www.douban.com/people/JulyChan/,立荐,2019-12-15 20:15:58,"这不就是著名的“他们二号去听经，晚上去旅店，三号去餐厅，然后看电影＂嘛。
",2,湖北武汉,未许天色常蓝，但恩典够用。
天籁💤,https://www.douban.com/people/libramao/,推荐,2019-12-23 21:37:14,按原版的故事线来拍不会差，其实除了为过审而改编的略憋屈的结局外，小细节上在尝试做一些更有深意的改编，最喜欢“羊”这一物象，本片英译名又暗合集体无意识所可能形成的暴乱，此外也没想到雨中揭开的棺材盖上会惊现触目血色抓痕。一路致敬不算生硬：肖申克、活埋、希区柯克…… 演员演技在线，自带喜感的肖央也是能扛起大旗的，Madam这角色找陈冲演真找对人了。虽然这样的故事只能发生在邻国，“给我查他一年的观影记录”何尝又不是一种照进现实的魔幻时刻。我虽然看了一千多部电影，还是愿意鼓励一下这次还不错的翻拍，手一松可给到四星。,0,"Sydney, Australia",竹 杖 芒 鞋 轻 胜 马
KK Green,https://www.douban.com/people/65274866/,推荐,2019-12-11 21:57:09,确实比预期的要好。这是导演第一部长片吗？还是挺用力的，那种想证明自己的心气儿真切感受到了。看来目前无法过审的本子只要把背景放在泰国就能被拍出来，也不知是该鼓掌还是叹息。剧本本身比较一般，矛盾冲突非常具有印度爽片关键卡点的特色，翻拍版吧，故事其实特别本土化，人物极其脸谱化，各种糅合各种混搭，虽感觉不少地方生硬又直白得过分，但成片那股劲儿还是值得鼓励一下，加一星。,2,上海,无签名
轮子到底滚不滚,https://www.douban.com/people/LizyStone/,较差,2019-12-23 20:02:41,好尴尬 为什么不在中国村里拍,3,未知,无签名
菲到一亿光年外,https://www.douban.com/people/144881358/,推荐,2019-12-09 15:33:26,"“只要你看过一千部以上的电影，你就会发现这个世界上根本没有什么离奇的事。”
多看电影还是有好处的。
虽然不太喜欢结尾部分的处理。
补，原版看完了，喜欢那个结局呀。
国产这版故事基本没有大变化，本土化的还不错，挺不错的电影，尤其是好多致敬啊，本非专业影迷看的真的好开心。

",6,未知,无签名
deus,https://www.douban.com/people/solowingpixy/,推荐,2019-12-07 20:39:17,1000部电影的经验VS1000个案子的经验，逼供的技巧VS串供的艺术。从结尾看，陈思诚是想开辟一个新的系列《唐人街反探案》。这片子其实给国内导演提供了一些新思路，一些因为国情不容易本土化的外国剧本，一些因为国情不容易拍出来的题材内容，完全可以改头换面，放到周边其他国家，从而回避了大多数国产犯罪片最后都要加一行字幕的尴尬。电影中清查观影记录那段估计豆瓣er都会会心一笑。这片子对泰国的态度，简直是低级黑高级红。,3,吉林长春,爱是昂贵的
蓝格子,https://www.douban.com/people/bluegrid/,推荐,2019-12-11 17:28:29,故事整体不错，有些镜头很高级，有一种《杀人回忆》的feel，结局不是很完美，有点生硬，可能是为了首尾衔接，讲一个环形结构，对影迷的小打趣很有意思~,1,北京,世事漫随流水，算来一梦浮生。
Lunar C.,https://www.douban.com/people/Bloodworks/,立荐,2019-12-18 19:29:46,结局相对于原版反而显得更加人间有真情，不过节奏略拖，简短更好。,1,北京,无签名
琅夏,https://www.douban.com/people/149065509/,推荐,2019-12-11 20:29:58,真的蛮不错的/强奸犯都给老子死!/最后结尾的定格和彩蛋的定格我都挺喜欢的/肖央还真不愧是东北宋康昊哈哈哈哈哈哈哈哈哈哈哈哈/给我查他近一年的观影记录 欢迎来豆瓣哈哈哈哈哈哈哈哈哈哈哈哈,3,重庆,无签名
大波罗霸,https://www.douban.com/people/52143519/,还行,2019-12-21 16:38:01,特色主义结局，没看过原版不知道有什么不同，作为商业片还算及格吧，细节不值得推敲，靠观影记录破案我真的笑死了,0,上海,我还有吃和远方
pipboy,https://www.douban.com/people/2049714/,还行,2019-12-14 01:15:15,翻拍印度,0,上海,无签名
鲁闽,https://www.douban.com/people/harechan/,推荐,2019-12-15 12:34:37,开头有点拖沓，后面渐入佳境，羊的意象很好，最后的采访也很不错。但其他环节还是有些失控或者跳脱，导致整体氛围营造还有欠缺，艺术上也就还未达到酣畅淋漓的效果。,1,广东广州,我知道什么呢？
信誓旦旦,https://www.douban.com/people/1399909/,还行,2019-12-14 00:58:41,是翻拍～,1,北京,当你决定了，就不会害怕。
冷杉,https://www.douban.com/people/bigway/,还行,2019-12-11 13:01:08,摄影还可以，剪辑也能跟上，就是关键地方有点乱。比如根据小女孩的口供可以推翻其他的供词，为什么要埋掉羊？羊有弹孔，体内应该有子弹，怎么圆回来？民众一暴乱就都解决了？删除视频可以恢复数据？查一年观影记录有点生硬。陈冲的形象不适合演女警察，政府官员都可以，就是没法说是个女警察。或许服装应该给加个大披风斗篷。,3,"San Francisco Bay Area, United States",少着急，多喝水，别害怕，不要脸
半日闲,https://www.douban.com/people/122367123/,推荐,2019-12-10 21:01:47,"情与理，罪与赎。剧情前半部分高能，但是从男主自首开始全面崩塌，我能忍受画面差一点，剧情狗一点，但是不能接受bug，不合理情节。男主的自首动机完全不明，姑且就是为了过审吧，还有就是以为陈冲是个王者，其实还是个钻石，永恒钻石，根据她的性格，是为达目的可以不择手段，可以作伪证的，但是却是用暴力解决？在后半段个性特点完全没有释放，以为强强对决，其实全程被碾压，有点虎头蛇尾的感觉。
换个角度，我就算看1000部电影，也没男主的魄力和计谋吧。脑洞开一下，排除逻辑性，收尾呼应，男主想逃跑，但是陈冲做了手脚，以牙还牙，以眼还眼。
寻找电影小彩蛋还是很欢乐。",5,江苏镇江,无签名
Morning,https://www.douban.com/people/qiweiming750/,还行,2019-12-16 11:58:19,陈冲的表演最强，在规定动作内完成了升华性的表演。这个电影强调一个人设就是看过一千部推理电影的李维杰，他实质上忽略了好几个问题，一个是明显会出错的小女儿，二是竟然置大女儿被强奸知情人不顾，他显然着急着实施他的瞒天大计，那种得了灵感不管落地材料一股子冲劲的跑了十万八千里，以他对于刑侦的掌握难道不知道要成为证明的痕迹留白的重要性，世上没有完美的犯罪，以他那样子为自己造存在感其实就是引怀疑上身，基于此他的性格应该要做的比慈父更复杂，显然嫌疑人X不对这个路子，相反陈冲的角色就写得很有基本常识，查阅片量和找到所有相关的人虽然夸张，但这不就是最基础的分析，也所以我觉得改编应该将重点来写疑点，这个电影存在的种种都是疑点，但是缺乏有力证据，疑点是各路人人性的连接点。,2,北京,再说吧。
扭腰客,https://www.douban.com/people/mlsslm777/,还行,2019-12-17 21:31:33,印度阿三版改成泰国华人版，说实话挺合适的，肖央和谭卓演得好，陈冲神还原吧，秦沛老爷子这个帕金森式表演风格我也是不太能接受，好像总在抖着手跟街坊八卦。顶礼膜拜原版的麻烦尊重下国情好不好，不是不想，是不能啊……,0,上海,森破and那义务
mm32,https://www.douban.com/people/83538603/,还行,2019-12-19 21:40:49,第四手翻拍作品。翻拍自《误杀瞒天记》，而《误杀瞒天记》翻拍自《较量》，《较量》导演说灵感来自于《嫌疑人x的献身》，其实剧本已经构成抄袭了。看翻拍片我总是很难有很好的观影体验，尤其这种犯罪片，由于最重要的过程结局看前就知道，没有了神秘感就很难被带入进剧情。剧情基本全部保留了原作出色的地方，整体节奏更快，结局为了过审也很失败，《误杀瞒天记》分数高，其中结尾至少提高了0.5分。演员方面都挺不错的，陈冲女儿拖后腿。新人导演处女作还算可以了，中规中矩的翻拍，没惊喜。陈思诚喜欢剧透这点很讨人厌，唐探1剧透了《体育馆之谜》，这部又剧透《蒙太奇》，整体6分。,0,未知,-。-
一灯,https://www.douban.com/people/day999818road/,推荐,2019-12-21 20:41:26,在我国你看过五千电影也别想瞒天过海,1,北京,无签名
一颗心的距离,https://www.douban.com/people/55342301/,力荐,2019-12-10 21:38:05,"这个剧本逻辑很流畅，拍摄和配乐上有点唐探的风格，但是题材的沉重感更强烈，在国产剧情片里算得上今年最喜欢的一部了，预期会是十二月观影档的一匹黑马。
肖央老师的表现让人惊讶，不得不说正剧演员演喜剧往往都不好笑，但是喜剧演员演正剧真的是一个赛一个厉害，跟两位女神级演员对戏也让人觉得不分伯仲。不过我观影也超过一千部了，肖央老师你骗人( ͡°ᴥ ͡° ʋ)
另外陈冲老师和谭卓老师对视那个镜头，戏剧张力太惊人了，让我一度感觉到了自荧幕传来的压力。由衷希望这些有阅历又有魅力的女演员多多拍戏，多多合作，也希望国产电影有更多好的剧本配得上她们（来自一个影迷卑微的心愿）。
听说下部明年10月就上了，提前预定一张电影票！",7,北京,Carpe Diem
梵目,https://www.douban.com/people/ifanmu/,推荐,2019-12-15 06:06:35,和原版没什么区别，其实这种翻拍拍好了也挺没意思的。,1,山西太原,三好青年
jj73浅之,https://www.douban.com/people/asano/,较差,2019-12-10 21:59:51,开场就被大女儿的演技吓傻了，除了陈冲墨镜警服造型狂流哈喇子之外，全程没入戏，看完才知道那是陈冲闺女，一声叹息。,8,北京,不着急 不犹豫 多运动 多喝水
沙宣,https://www.douban.com/people/41686939/,很差,2019-12-15 16:36:48,这是我看的第四版了，人体蜈蚣版瓦房店化。如果结局是为了过审完全可以像娄烨那样打字幕啊。经济越差电影界越保守，翻拍比原创安全且受益可预期，接下来可能把豆瓣前500能国产化的都再来一次。我已经做好准备看国产版卖花姑娘 金姬与银姬了。,0,北京,他人即地狱
徐宏亮_TomXu,https://www.douban.com/people/xhlaxhla/,推荐,2019-12-14 01:33:07,陈冲霸气侧漏，谭卓老师有点神经质过头了。肖央的角色挺符合气质的。过去一年的观影记录，一秒钟出戏！一个大bug：其实找出那天晚上的长途出租车司机就好了嘛,4,上海,胡闹够了没？快去学习！
凹凸,https://www.douban.com/people/mr_tree/,还行,2019-12-10 22:27:39,上海话版评价：则劲！如果你看过一千部电影，确实不会觉得片中的反转有什么稀奇的。但隐喻的部分和类似《小丑》的暴乱戏，还是值得鼓掌的。陈冲的恶女对她来说根本没难度啊。,1,上海,无签名
Black Tulip,https://www.douban.com/people/Black_Tulip/,还行,2019-12-20 22:12:07,没看过原版的。但我猜原版的结尾一定不是这样子的。,1,江苏南通,茫茫人海，你只是回了一下头。
影人疯,https://www.douban.com/people/148059286/,推荐,2019-12-24 15:36:29,A-  全程憋尿看完，结局意料之中。有印度原版《误杀瞒天记》做后盾，这部《误杀》不会太难看。亲情悬疑、隐喻意象和诡谲迷影等元素到处清晰可见，这位年轻的导演功力不错。太蒙太奇了，偷换时间，完美犯罪制造不在场证明。太神奇了，谎言控诉真相，让故事中的所有人替他们做伪证。你是做任人宰割的羊，还是做奋起反抗的狼，全在你一念之间。两处意味深长对着镜头的凝视，简直是妙笔生花。肖央是我有史以来看到演技最好的一次，可以多演演悬疑片。至于陈冲和谭卓算平均发挥，对峙那场戏表演得有些生硬，幸好全片紧凑，不然是要扣分的。ps:二刷后理清了所有细节，一切看似合情合理。最后，相信每个人心里都有自己的答案。,1,广东广州,无签名
沙雕电影,https://www.douban.com/people/185573840/,还行,2019-12-14 18:46:40,原版故事和陈冲都救不了的视听灾难，河北宋康昊my ass,7,北京,无签名
左思右想改个名,https://www.douban.com/people/29725427/,推荐,2019-12-14 21:51:29,不如就把电影ending在抬头时响起的寺庙忏悔钟声,4,Belize,无签名
跳跳,https://www.douban.com/people/cherrytiaotiao/,推荐,2019-12-13 22:32:12,不喜欢这种广电审查式大结局，就让这一家人心怀愧疚心惊胆战到老到死不好吗？此劫之后欢乐是别人，喧嚣是别人……这样郁郁寡欢的结局是不是更有深度？……回来的时候想故事背景安排到东南亚某国，大概也是因为审查需要，不然怎么可以诽谤我国警察？！突然很想知道那件“操场埋尸案”怎么判了，又上网搜了搜“迁安市公安局副局长诱奸6幼女案”的后续，唉……,4,云南昆明,三月桃花 两人一马 明日天涯
丨查查子丨,https://www.douban.com/people/76790888/,较差,2019-12-11 22:44:08,既然不能有逃脱犯罪的情节，连顶罪都不行就别翻拍这种片，时长关系的删减和最后尸体藏处那段不拍可以理解，推理过程太敷衍了吧，还有面瘫大女儿，一直出戏，出来一看果然关系户，草。,7,未知,红尘多可笑，痴情最无聊。
不爱吃肉,https://www.douban.com/people/174572396/,还行,2019-12-11 21:10:05,按照类型片的标准来看，这个片子该有的一个都不少，部分环节甚至完成的还不错，两个母亲剑拔弩张地对峙印象很深刻。但是导演就像刚学会PPT的我，想把自己会的所有炫酷技巧用到作品里☺️,6,北京,无签名
醉舟一季,https://www.douban.com/people/Cincky.XiN/,还行,2019-12-22 16:57:16,1000部电影的观影量就可以完美犯罪了耶,0,四川成都,保持神秘是我们唯一的交流方式。
瓜了个黄,https://www.douban.com/people/172348241/,力荐,2019-12-16 16:18:41,这部电影讲了一个破了一千起案件的人如何输给了一个看了一千部电影的人的故事，足以说明多看电影的重要性，哈哈哈哈哈！另外，陈冲老师的演技是真没话说,3,重庆,无签名
詹尼金,https://www.douban.com/people/jenykame/,推荐,2019-12-18 15:53:30,监制陈思诚。,0,上海,狮子座都是大M
Captain_C,https://www.douban.com/people/125256660/,较差,2019-12-18 22:22:43,电影疯狂给线索，给细节特写配以音效强调，给人物以非常功能性的直接台词，生怕观众不知道案情的真相，悬疑感非常廉价。剪辑糟糕，那场拳赛和凶案现场的平行剪辑刻意到爆炸。谭卓这种大陆式母亲的表演真的很违和啊，除了和陈冲警察局对视那场是亮点别的场合都很突兀。几处迷影向的致敬还算有趣。以及差评与中国特色式结尾无关。,4,上海,无签名
jimmy,https://www.douban.com/people/jinshuifen/,还行,2019-12-18 21:04:40,让大家都搞错时间太牵强。在“赛国”说着台湾腔、香港腔、大陆腔还真是有点莫名地脱戏。,2,浙江台州,金水焚
Yukip,https://www.douban.com/people/34744036/,推荐,2019-12-08 17:40:33,"非常不错，竟然还隐约推荐了韩国电影 蒙太奇，相信很多人会去重新挖出来的。
虽然题材设置场景在泰国，我依然觉得有点牵强,袭警也是一种罪过喔。总体剧情跌宕起伏，棒棒的，推荐推荐。陈冲郝蕾肖央的表演都非常给力，气场足够!",4,未知,爱艺术，爱自然，爱徒步，爱生活
Cycble,https://www.douban.com/people/chaiyanchao/,推荐,2019-12-16 23:28:17,1、《一个超级影迷的自我修养》，就是学以致用，举一反三。顿时觉得自己一千多部电影白看了。2、不太理解明明过关了为何要自首，进去了又想着肖申克的救赎式的越狱。3、这事翻拍也只能发生在泰国，不然上映了也是正能量的结尾字幕吧。4、《父母能为儿女做什么系列之影迷的完美犯罪》。,0,广东广州,You are the apple of my lie.
极圈里的燕鱼,https://www.douban.com/people/72002197/,还行,2019-12-14 23:26:09,导演在镜头和校色的确有一手，画面质感很强，色调从起初的昏黄体现城镇的阴暗黏腻，过渡到青灰色展现人物内心的冰冷，到最后真相大白如释重负的明亮，带动了整体的剧情走向。但整体节奏把控的不好，上下部分差距有点大，高潮部分很抓人，之前的戏份却让人忍不住想吐槽。表演就看陈冲和秦沛了，这两位着实强，还有小女儿这个年龄能演成这样不容易，其他人也就马马虎虎吧。一个不怎么出色的改编，剧本很一般，挪到外国背景却全员汉字普通话很是突兀，结局的忏悔和自首如果说是向符合东方隐忍忠恕的传统理念倾倒，那字幕之后的画面纯粹是自相矛盾的画蛇添足。,0,黑龙江牡丹江,开窗听雨，隔栏望月
马 夋,https://www.douban.com/people/june.q/,还行,2019-12-13 16:32:23,我更期待导演自己未来的原创商业片#3.5,1,北京,恩？
密云不雨,https://www.douban.com/people/zym9608/,还行,2019-12-13 22:52:09,整挺好。算半部陈思诚作品，到了揭秘部分他作为创作者不可抑制的自恋气息又射豆子似的怼到观众脸上……虽然有着放快了冲突节奏导致男主的布局执行缺点“观念”上的可信等毛病，但这仍是一部完成度值得我们用行动鼓励的类型片。感谢万年背黑锅的泰国兄弟（片中叫赛国），结尾能短暂地燃了一把“羔羊的怒火”，这在戏里，也间接推动了男主较量得胜。,1,福建莆田,无签名
Crazy Ivan,https://www.douban.com/people/1153237/,推荐,2019-12-05 22:19:32,永恒点映  没看过原版，虽然结局一开始就曝出了，不过整个过程还是挺吸引人——看过一千部电影能否实施完美犯罪？至于这样的结局是否让人满意，正如秦沛扮演的小老板那最后的表情。还有第一次看到如此狰狞的陈冲……,2,广西南宁,读具慧眼·读出心裁·读善其身
matchbox,https://www.douban.com/people/matchbox/,推荐,2019-12-15 20:51:23,虽然推理部分全是原版功劳，但拍摄手法和表演比原版要高明许多，而且巧妙地跟开篇陈冲破的那个案子联系起来了。相比原版这个结局我也更加喜欢，不过最后两个人物特写定格有点莫名其妙。查过去一年的观影记录确实有点儿出戏啊。,0,上海,头像是真爱O(∩_∩)O
Vivian,https://www.douban.com/people/45278107/,还行,2019-12-22 21:59:12,翻拍的还能看吧，华语犯罪片里算是不错的了。不过感觉还是不原版误杀瞒天记好看，尤其结局，一言难尽,0,上海,无签名
糸色望,https://www.douban.com/people/loooz/,推荐,2019-12-24 21:21:04,忽视最后五分钟的过审结局，是非常不错的本子。肖央很棒，谭卓陈冲也很棒。犯罪题材多来点吧，管它是哪国发生的呢对吧,1,甘肃兰州,人人有功练
突突Plus,https://www.douban.com/people/aboutdy/,推荐,2019-12-21 19:45:44,结局处理的其实OK，留白很有回味。,0,上海,这家伙太饿了，签名档被他吃了。
男娼起义,https://www.douban.com/people/daladida/,立荐,2019-12-10 22:28:18,又名《豆瓣追凶》~我真的冲着WE ARE LIE去看的,2,未知,这一生如此 多云
