用户名,用户主页,推荐星级,评论时间,短评信息,投票次数,城市,用户签名
猫奴十二年,https://www.douban.com/people/IvanLaw7/,很差,2019-12-05 20:43:20,正在看，看了一个钟头，一星不可更改。镜头语言缺乏力量感，全靠背景音乐来凑，整得跟电视剧一样，点进导演主页看，还真拍了唐探电视剧。剧本上第一幕完全是学生水平，什么都往里面堆，东一榔头西一棒子。中间点后不想仔细看了，无非就是影迷大战警察，看着好故事一步步被毁掉真是痛心,177,Antigua and Barbuda,当你不开心时，带猫前行
鹿鸣,https://www.douban.com/people/108146760/,推荐,2019-12-06 00:42:34,开篇米黄色的监狱场景《监狱风云》，越狱《肖申克的救赎》，棺材里点火《活埋》，出现的电影还有纽约五行杀人案《唐人街探案2》，用演技脱罪《控方证人》，镜头剪辑《蒙太奇》，唯一提到的电影人悬疑片大师希区柯克，棺材盖上的抓痕《妖猫传》，在电影院看的电影是《天才枪手》，出现了两张海报，一张《肖申克的救赎》一张小李子主演的《猫鼠游戏》，查观影纪录的电影有： 撒谎的萝莉《狩猎》、宗教犯罪案《七宗罪》、日与夜的相守《白夜行》。最后面对摄像机的镜头《杀人回忆》，核心诡计是《蒙太奇》，暴乱戏能够联想到《小丑》，小女儿看到妈妈埋人的镜头《唐人街探案》，囚车的戏《我不是药神》，标准的国产犯罪片的和谐大结局《暴烈无声》等。一部影迷向的电影，7.5/10,920,安徽合肥,无签名
方枪枪,https://www.douban.com/people/yalindongdong/,推荐,2019-12-09 12:43:24,既保留了原版最扣人心弦的部分：缜密的故事设计和离奇曲折的各种反转桥段，也做出了属于自己风格特色的改变，情节紧凑，节奏干净利落，尤其是演员的表演，无论是肖央，还是谭卓、陈冲，都让人惊喜。当然，给我查他一年观影记录台词一出，影厅直接笑场，太豆瓣了吧，哈哈哈哈。PS：估计很多人并不知道，《误杀瞒天记》也是翻拍，翻拍自2013年一部名为《较量》的印度电影，只不过比《较量》名气更大而已。,1325,上海,Life is wonderful !
谋杀游戏机,https://www.douban.com/people/hexiaoqin/,立荐,2019-12-09 00:31:00,陈冲的表演太好了，不怒自威。新加那句”查他观影记录“太逗了，豆瓣网友怕是藏不住了。,313,北京,众生皆苦，肥宅快乐
metaphor17,https://www.douban.com/people/metaphor17/,还行,2019-12-10 21:38:55,感觉这电影特别自作聪明，也就能骗骗吃瓜观众。观影量1000+的观众应该都不会吃它这套吧，男主角选肖央真的是此片一大败笔，估计是陈思诚喜欢？,209,北京,不过是 骗人的把戏
徐若风,https://www.douban.com/people/ruo1996/,推荐,2019-12-05 23:18:18,对新导演而言，算是一部出色的类型片处女作。剧作遍布反转和算计，有意将背景设置在一个警员欺下瞒上、局长滥用职权的环境下。两个家庭围绕一场骗局的对抗背后，其实是两个阶层的斗法，一则社会寓言。几位主演，尤其是肖央、陈冲、谭卓三位，表现出彩，展露出了每个角色的复杂多面。迷影的元素很有趣，尤其是陈冲那句“给我查，把他近一年的观影纪录都查出来”时，不禁笑场了，这实在是个亲切的“豆瓣时刻”。,906,浙江杭州,24.
时间之葬,https://www.douban.com/people/ydyie/,推荐,2019-12-04 22:44:36,比想象中更好，在今年的华语犯罪片里绝对是一个无法忽视的存在。整部电影构建了一个看似简单实则极其精妙的“骗局”，让看似软弱无力的李维杰一家，完成了惊人的逆转和反杀。戏里李维杰与拉韫的斗智斗勇，像极了两个犯罪心理高手的对弈，戏外肖央和陈冲也在比拼难分高下的演技。更难得的一点是，导演把这样一个故事放置在一个社会治安混乱，警方失信于人民且滥用职权的架空背景下，于是李维杰一家的反抗，便有了几分耐人寻觅的意味，最后的高潮与收尾，也让这种浓烈的情绪得以慢慢宣泄出来。另外想提的一点是，华语片里终于也植入了数不清的迷影梗和彩蛋，有兴趣的影迷朋友可以动手盘点起来了。,750,北京,无签名
桃桃林林,https://www.douban.com/people/qijiuzhiyue/,还行,2019-12-16 12:35:18,背后的指涉还是挺有趣的，放在泰国就可以为所欲为了呢。原来看电影还有这个功效，感觉自己这么多电影白看了。,109,"P'yŏngyang, North Korea",微信公众账号： ttfilm
鄙伶,https://www.douban.com/people/67242863/,很差,2019-12-05 18:16:44,"1.5 这片辱看过1000部电影以上的观众了，吓得我赶紧把标记看过的片删到1000以下，片子提醒友邻要注意了，小心哪天大数据分析你阅片记录......导演怕是网大系导演吧，叙事、剪辑太不行了，想致敬一堆经典悬疑片，整体又显得很突兀，结尾为了“过审”而结尾就算了，但最后一个镜头强行抄《杀人回忆》？整部片用冯小刚的话说就是：“还蒙太奇，你知道什么叫蒙太奇呀”。点映直接掐片尾字幕，彩蛋都没看着

如果把地域设定在大陆而不是泰国，👮也是大陆的话，片子就没法过审吧",139,福建龙岩,不是影迷只是观众
大奇特(Grinch),https://www.douban.com/people/grinch/,还行,2019-12-06 21:36:33,《误杀瞒天记》（同样翻拍自《较量》）的基础在那儿，首先解决了原作前40分钟啰哩啰嗦的问题，整体节奏加快。除了外景搬到泰国以求安全，影像风格也很泰式。误杀段落与跆拳比赛的平行剪辑用的也好，这些都是优点。美中不足的是肖央刚出场时总带股喜剧味，警察搬“观影记录”查案也很儿戏（“豆瓣看过”将成为最有效的证据），总给人一种想往喜剧上走的错觉，结尾的“安全牌”大家都懂。,121,北京,肚脐缝顾肠胃
